"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"515",478,"478_1","SE",NA,"Stentjärn",60.1749002648217,14.7142102706173,276.6,6.14,NA,NA,60.1745087527387,14.714797878471
"516",479,"479_1","SE",NA,"Stödesjön",62.3750637801751,16.8639461564395,51.5,1618.68,22.7,66,62.3933849240532,16.7032498693142
"517",480,"480_1","SE",NA,"Stora Arksjön",64.6478946739947,15.6963510077573,355.7,866.58,5.2,14.4,64.6857980541319,15.5434752975067
"518",481,"481_1","SE",NA,"Stora Avlången",60.0112823698424,15.1165416808173,281,312.6,6.2,28,60.000815558187,15.1436251739932
"519",482,"482_1","SE",NA,"Stora Bastuträsket",65.01784542163,17.7008100342574,265.2,341.46,NA,NA,65.0228278868106,17.6650139222384
"520",483,"483_1","SE",NA,"Stora Björken",59.1274632695755,14.5170198885722,93.3,428.9,7.1,21,59.1558541798691,14.4830121715707
"521",484,"484_1","SE",NA,"Stora Dysjön",61.0929230573709,12.7533305966746,430.9,39.03,NA,NA,61.0984902177157,12.7474472263086
"522",485,"485_1","SE",NA,"Stora Färgen",56.9858987328321,13.3343384183666,134,624.25,3.5,10,56.9604864325812,13.3413324878458
"523",486,"486_1","SE",NA,"Stora Flat",59.6177986132778,11.9596575771302,183.2,81.35,NA,10,59.6269437792013,11.9538418146957
"524",487,"487_1","SE",NA,"Stora Hullsjön",62.5528344947625,16.6362033421306,301.2,510.35,NA,NA,62.5322992043887,16.6670009073366
"525",488,"488_1","SE",NA,"Stora Kloten",59.8938469206761,15.2861875710813,266.4,486.75,7.1,36,59.8692824094226,15.2754349279212
"526",489,"489_1","SE",NA,"Stora Kvammarn",64.9453390970506,19.3079590860491,293,1052.63,NA,19.3,64.9629325499593,19.1948225157102
"527",490,"490_1","SE",NA,"Stora Laxsjön",62.7430535649218,17.211658151603,268.1,1132.7,11.4,31.2,62.7782715264841,17.2075140803059
"528",491,"491_1","SE",NA,"Stora Le",59.3254143833832,11.8436794654385,104,13302.42,NA,55,59.2364256027908,11.8668793269463
