lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
353,353_1,SE,,Norsjön,64.94071079385571,19.378083021762713,290.5,1617.57,,11.0,64.90412650265881,19.41216871422107
354,354_1,SE,,Ö Marssjön,65.02707705476635,15.526315113850634,534.0,529.93,,,65.02214370199982,15.466520522378936
355,355_1,SE,,Ockern,63.685853867296366,14.665906736690456,300.2,256.83,,22.5,63.69803409877848,14.655074294012197
356,356_1,SE,,Ockesjön,63.27823860745742,13.861174360113823,299.8,794.74,,16.0,63.27737281913974,13.790622536821607
357,357_1,SE,,Offertjärn,63.1422698593639,17.745284850054215,15.4,4.41,,,63.14338829440446,17.747342513715598
358,358_1,SE,,Öjaren,60.672641063110134,16.838180540170708,71.3,1952.62,3.1,10.0,60.71967225517499,16.856828596645613
359,359_1,SE,,Öjarssjön (Öjarn),63.931287776712715,15.07859064403209,434.3,519.95,,,63.95663359540882,15.057726849675554
360,360_1,SE,,Öjen,60.76886552162326,13.879427648359862,296.1,1512.08,,,60.76945096027761,13.877522357210685
360,360_2,SE,,Öjen Bysjön,60.80244032896533,13.879430966382266,296.1,1512.08,,,60.76945096027761,13.877522357210685
361,361_1,SE,,Öjönsjön,62.83555812823877,12.66563388955331,848.9,216.51,,,62.849095198783424,12.67471845521166
362,362_1,SE,,Öljaren,59.15882435686988,15.954258627445034,24.1,1781.7,,,59.13455518025544,16.022530190350434
363,363_1,SE,,Olofssjön,59.89629275401151,14.961170445721114,153.0,192.68,,,59.90473795506492,14.946852718949918
364,364_1,SE,,Oltokjaure,65.7466951239515,15.50763734700264,483.0,408.69,,,65.74199408185916,15.492414141817298
365,365_1,SE,,Ömmeln,59.12551128065547,12.538704371994914,122.7,681.14,,24.5,59.13138302662054,12.49648955315654
366,366_1,SE,,Önn,58.17852851670692,16.381858348394214,34.6,162.98,,,58.1796741828898,16.369708015091145
367,367_1,SE,,Oppäsen,59.57010848483605,15.581519517252863,63.2,411.37,2.9,8.5,59.58580230487586,15.604195501620955
368,368_1,SE,,Öresjö,57.760398511435795,12.942156172944488,133.0,632.45,,30.5,57.7875324372447,12.978793979271316
369,369_1,SE,,Oresjön,61.165759452459156,15.134954342477894,200.2,1256.7,,29.0,61.14857820073935,15.177985385585375
